ID,Name,Age,Nationality,Overall,Potential,Club
20801,C. Ronaldo,32,Portugal,94,94,Real Madrid CF
189156,Daniel Carrio,28,Portugal,80,81,Sevilla FC
212198,Bruno Fernandes,22,Portugal,78,85,Sporting CP
199482,A. Lopes,26,Portugal,83,86,Olympique Lyonnais
158023,L. Messi,30,Argentina,93,93,FC Barcelona
211110,P. Dybala,23,Argentina,88,93,Juventus
182494,F. Muslera,31,Uruguay,82,82,Galatasaray SK
179813,E. Cavani,30,Uruguay,87,87,Paris Saint-Germain
188545,R. Lewandowski,28,Poland,91,91,FC Bayern Munich
202126,H. Kane,23,England,86,90,Tottenham Hotspur