ulke,kod,yÄ±l,alan(%)
Ermenistan,ARM,1990,11.88
Ermenistan,ARM,2000,11.81
Ermenistan,ARM,2005,11.77
Ermenistan,ARM,2010,11.74
Ermenistan,ARM,2015,11.77
Azerbaycan,AZE,1990,10.31
Azerbaycan,AZE,2000,10.55
Azerbaycan,AZE,2005,10.61
Azerbaycan,AZE,2010,12.2
Azerbaycan,AZE,2015,13.78
Brezilya,BRA,1990,65.41
Brezilya,BRA,2000,62.37
Brezilya,BRA,2005,60.63
Brezilya,BRA,2010,59.64
Brezilya,BRA,2015,59.05
Kambocya,KHM,1990,73.33
Kambocya,KHM,2000,65.41
Kambocya,KHM,2005,60.79
Kambocya,KHM,2010,57.18
Kambocya,KHM,2015,53.57
Yunanistan,GRC,1990,25.59
Yunanistan,GRC,2000,27.94
Yunanistan,GRC,2005,29.11
Yunanistan,GRC,2010,30.28
Yunanistan,GRC,2015,31.45
Nijerya,NGA,1990,18.92
Nijerya,NGA,2000,14.42
Nijerya,NGA,2005,12.18
Nijerya,NGA,2010,9.93
Nijerya,NGA,2015,7.68
Turkiye,TUR,1990,12.5
Turkiye,TUR,2000,13.23
Turkiye,TUR,2005,13.85
Turkiye,TUR,2010,14.56
Turkiye,TUR,2015,15.22