Year,Lbs
1924,4.1
1925,6.6
1926,7.1
1927,10.1
1928,6.1
1929,7.3
1930,15.5
1931,9.9
1932,4.9
1933,8.2
1934,5.6
1935,6.1
1936,7.4
1937,14
1938,7.9
1939,6.9
1940,12.6
1941,17
1942,11.9
1943,17.4
1944,3.5
1945,8.8
1946,11.2
1947,12.5
1948,17.8
1949,15.2
1950,14.7
1951,26.9
1952,8.1
1953,12.2
1954,22.6
1955,16
1956,16.5
1957,29.4
1958,16.3
1959,22.6
1960,21.3
1961,25.6
1962,30.3
1963,22.8
1964,21.9
1965,10.6
1966,19.3
1967,28.9
1968,16.6
1969,19.6
1970,9.2
1971,19.2
1972,16.9
1973,22.1
1974,18.6
1975,11.9
1976,24.9
1977,14.4
1978,18.1
1979,17.6
1980,21.2
1981,21.7
1982,35.9
1983,44.7
1984,24.7
1985,43.7
1986,42.2
1987,36.3
1988,52.3
1989,26.8
1990,75.3
1991,39.5
1992,84.6
1993,64.6
1994,59.5
1995,65.9
1996,59.2
1997,73.8
1998,62.9
1999,65.9
2000,110.6
2001,75.2
2002,62.4
2003,80.4
2004,46
2005,60.2
2006,74.6
2007,76.3
2008,90
2009,88.1
2010,83
2011,79.9
2012,91.1
2013,87.1
2014,104.4
2015,101.11
2016,101.8
2017,67.8
2018,50.4